,TKTK TKTK,tk1TK TKTK,tk2TK TKTK,tk1tk1 TKTK,tk1TK tk1TK,tk1tk2 TKTK,tk1TK tk2TK,tk2TK tk2TK,tk1tk1 tk1TK,tk1tk1 tk2TK,tk1tk2 tk1TK,tk1tk2 tk2TK,dead,escaper
TKTK TKTK,(1-p1-p2)^4,p3cnd/2,p3cnd/2,0,0,0,0,0,0,0,0,0,0,0
tk1TK TKTK,4*p1*(1-p1-p2)^3,(1-p1-p2)^3*(1-p2),0,0,p3cnd,0,p3cnd/2,0,0,0,0,0,0,0
tk2TK TKTK,4*p2*(1-p1-p2)^3,p2*(1-p1-p2)^3,(1-p1-p2)^3,0,0,0,p3cnd/2,p3cnd,0,0,0,0,0,0
tk1tk1 TKTK,2*p1^2*(1-p1-p2)^2,p1*(1-p1-p2)^2*(1-p2)+p3cnd/2,0,(1-p1-p2)^2*(1-p2)^2,0,p3cnd/2,0,0,p3cnd/2,p3cnd/2,0,0,0,0
tk1TK tk1TK,4*p1^2*(1-p1-p2)^2,2*p1*(1-p1-p2)^2*(1-p2),0,0,(1-p1-p2)^2*(1-p2)^2,0,0,0,0,0,0,0,0,0
tk1tk2 TKTK,4*p1*p2*(1-p1-p2)^2,p2*(1-p1-p1)^2*(1-p2),p1*(1-p1-p2)^2,2*p2*(1-p1-p2)^2*(1-p2),0,(1-p1-p2)^2*(1-p2),0,0,0,0,p3cnd/2,p3cnd/2,0,0
tk1TK tk2TK,4*p1*p2*(1-p1-p2)^2,2*p2*(1-p1-p2)^2*(1-p2),2*p1*(1-p1-p2)^2,0,2*p2*(1-p1-p2)^2*(1-p2),0,(1-p1-p2)^2*(1-p2),0,0,0,0,0,0,0
tk2TK tk2TK,4*p2^2*(1-p1-p2)^2,p2^2*2*(1-p1-p2)^2,2*p2*(1-p1-p2)^2,0,p2^2*(1-p1-p2)^2,0,p2*(1-p1-p2)^2,(1-p1-p2)^2,0,0,0,0,0,0
tk1tk1 tk1TK,4*p1^3*(1-p1-p2),2*p1^2*(1-p1-p2)*(1-p2),0,2*p1*(1-p1-p2)*(1-p2)^2,2*p1*(1-p1-p2)*(1-p2)^2+p3cnd,0,0,0,(1-p1-p2)*(1-p2)^3,0,p3cnd/2,0,0,0
tk1tk1 tk2TK,4*p1^2*p2*(1-p1-p2),2*p2*p1*(1-p1-p2)*(1-p2),p1^2*(1-p1-p2),2*p2*(1-p1-p2)*(1-p2)^2,p1*p2*(1-p1-p2)*(1-p2),0,p1*(1-p1-p2)*(1-p2)+p3cnd/2,0,p2*(1-p1-p2)*(1-p2)^2,(1-p1-p2)*(1-p2)^2,0,p3cnd/2,0,0
tk1tk2 tk1TK,8*p1^2*p2*(1-p1-p2),2*p2*p1*(1-p1-p2)*(1-p2),2*p1^2*(1-p1-p2),p2*p1*(1-p1-p2),2*p2*(1-p1-p2)*(1-p2)^2,2*p1*(1-p1-p2)*(1-p2),p1*(1-p1-p2)*(1-p2),0,2*p2*(1-p1-p2)*(1-p2)^2,0,(1-p1-p2)*(1-p2)^2,0,0,0
tk1tk2 tk2TK,8*p2^2*p1*(1-p1-p2),2*p2^2*(1-p1-p2)*(1-p2),2*p1*p2*(1-p1-p2),p2*p2*(1-p1-p2),2*p2^2*(1-p1-p2)*(1-p2+p1),2*p2*(1-p1-p2)*(1-p2),p2*(1-p1-p2)*(1-p2),2*p1*(1-p1-p2),2*p2^2*(1-p1-p2)*(1-p2),2*p2*(1-p1-p2)*(1-p2),p2*(1-p1-p2)*(1-p2),(1-p1-p2)*(1-p2),0,0
